StS2 Launcher — Step 48.0 Off-tree NMainMenu instantiation checkpoint
Output-only diagnostic; never consumed as trusted runtime input.
Run ID: 20260910T1428494958770Z-pid9988-da75e5390ca8411793a0a1b871acdf33
Initialized UTC: 2026-09-10T14:28:49.4958770+00:00
Process ID: 9988
App version: 0.0.180 (180)
Candidate: STEPS 43–52 SEQUENTIAL STARTUP LADDER — STOP ON FIRST FAILURE; LATER RUNGS REQUIRE SAME-PROCESS PRIOR 4/4 AUTHORITY.
Global policy: Steps 43–49 keep rendering frozen. Original GameStartup/LaunchMainMenu, DoCloudSync, migration mutation, InitializePlatform, native Steamworks, ExecuteDeferred, and native game GDExtensions remain unopened. Steps 47–49 use the direct main-menu resource/scene route; Step 50 alone may run one audited bounded render pulse and must synchronously refreeze.

2026-09-10T14:28:49.5035290+00:00 | run=20260910T1428494958770Z-pid9988-da75e5390ca8411793a0a1b871acdf33 | pid=9988 | managedThread=1 | RUN_TELEMETRY_READY — run-correlated ladder journal created and durably flushed before Gate A.
2026-09-10T14:28:49.5067660+00:00 | run=20260910T1428494958770Z-pid9988-da75e5390ca8411793a0a1b871acdf33 | pid=9988 | managedThread=1 | RUN_START — Step 48.0 one-shot off-tree real NMainMenu instantiation + actual lifecycle audit started; rendering remains frozen and no SceneTree admission is authorized yet.
2026-09-10T14:28:49.5189070+00:00 | run=20260910T1428494958770Z-pid9988-da75e5390ca8411793a0a1b871acdf33 | pid=9988 | managedThread=1 | M48_A_PASS — Step-47 4/4 exact main-menu PackedScene authority retained; renderingStopped=True; state=2; off-tree instantiation not yet started.
2026-09-10T14:28:49.6462460+00:00 | run=20260910T1428494958770Z-pid9988-da75e5390ca8411793a0a1b871acdf33 | pid=9988 | managedThread=1 | M48_B_PASS — exact Instantiate binding + NMainMenu guard shape sealed; _Ready->CheckCommandLineArgs calls=1; CommandLineHelper refs=1; SaveManager getter fallback calls=1; Null SetRichPresence closure=1; forbidden/unresolved/external=0; instantiation=NO.
2026-09-10T14:28:49.6471860+00:00 | run=20260910T1428494958770Z-pid9988-da75e5390ca8411793a0a1b871acdf33 | pid=9988 | managedThread=1 | M48_C_UI_ARMED — first/only off-tree NMainMenu PackedScene.Instantiate authorized; no in-process retry after this checkpoint.
2026-09-10T14:28:49.6475330+00:00 | run=20260910T1428494958770Z-pid9988-da75e5390ca8411793a0a1b871acdf33 | pid=9988 | managedThread=1 | M48_C_INSTANTIATE_START — instantiating exact main-menu PackedScene once off-tree with GenEditState.Disabled. No AddChild, lifecycle-entry, render restart, LaunchMainMenu, deferred startup, or Steam work is authorized.
2026-09-10T14:28:49.6642280+00:00 | run=20260910T1428494958770Z-pid9988-da75e5390ca8411793a0a1b871acdf33 | pid=9988 | managedThread=1 | M48_C_FAIL — stage=runtime lifecycle guard rehearsal; System.IO.InvalidDataException: Step 48.0 required property MegaCrit.Sts2.Core.Nodes.NGame.RootSceneContainer to be non-null.
2026-09-10T14:28:49.6768470+00:00 | run=20260910T1428494958770Z-pid9988-da75e5390ca8411793a0a1b871acdf33 | pid=9988 | managedThread=1 | RUN_FINALLY_ENTER — managed control reached finally; managedThread=1; isMain=True; renderingActive=False. If off-tree instantiation was armed, never retry Step 48 in-process.
2026-09-10T14:28:49.6777230+00:00 | run=20260910T1428494958770Z-pid9988-da75e5390ca8411793a0a1b871acdf33 | pid=9988 | managedThread=7 | RUN_NORMAL_REPORT_RETURNED — step report writer returned.
2026-09-10T14:28:49.6918850+00:00 | run=20260910T1428494958770Z-pid9988-da75e5390ca8411793a0a1b871acdf33 | pid=9988 | managedThread=7 | RUN_END — Step-48 UI operation ended normally; If off-tree instantiation was armed, never retry Step 48 in-process.
