2026-09-14T08:12:07.9028840+00:00 | run=20260914T0809591487040Z-pid10996-6b20313d191e419b8b0922305798aa84 | pid=10996 | managedThread=1 | INMETHOD_GS017 — GodotSharp Godot.NativeInterop.godot_string* Godot.NativeInterop.CustomUnsafe::AsPointer(Godot.NativeInterop.godot_string&)
2026-09-14T08:12:07.9030300+00:00 | run=20260914T0809591487040Z-pid10996-6b20313d191e419b8b0922305798aa84 | pid=10996 | managedThread=1 | INMETHOD_GS048 — GodotSharp Godot.NativeInterop.godot_string* Godot.NativeInterop.godot_string::GetUnsafeAddress()
2026-09-14T08:12:07.9031760+00:00 | run=20260914T0809591487040Z-pid10996-6b20313d191e419b8b0922305798aa84 | pid=10996 | managedThread=1 | INMETHOD_GS048 — GodotSharp Godot.NativeInterop.godot_string* Godot.NativeInterop.godot_string::GetUnsafeAddress()
2026-09-14T08:12:07.9034980+00:00 | run=20260914T0809591487040Z-pid10996-6b20313d191e419b8b0922305798aa84 | pid=10996 | managedThread=1 | INMETHOD_GS049 — GodotSharp System.Void Godot.NativeInterop.godot_string::Dispose()
2026-09-14T08:12:07.9036420+00:00 | run=20260914T0809591487040Z-pid10996-6b20313d191e419b8b0922305798aa84 | pid=10996 | managedThread=1 | INMETHOD_GS041 — GodotSharp System.Void Godot.NativeInterop.NativeFuncs::godotsharp_string_destroy(Godot.NativeInterop.godot_string&)
2026-09-14T08:12:07.9037900+00:00 | run=20260914T0809591487040Z-pid10996-6b20313d191e419b8b0922305798aa84 | pid=10996 | managedThread=1 | INMETHOD_GS017 — GodotSharp Godot.NativeInterop.godot_string* Godot.NativeInterop.CustomUnsafe::AsPointer(Godot.NativeInterop.godot_string&)
2026-09-14T08:12:07.9039440+00:00 | run=20260914T0809591487040Z-pid10996-6b20313d191e419b8b0922305798aa84 | pid=10996 | managedThread=1 | INMETHOD_GS048 — GodotSharp Godot.NativeInterop.godot_string* Godot.NativeInterop.godot_string::GetUnsafeAddress()
2026-09-14T08:12:07.9040910+00:00 | run=20260914T0809591487040Z-pid10996-6b20313d191e419b8b0922305798aa84 | pid=10996 | managedThread=1 | INMETHOD_GS011 — GodotSharp System.WeakReference`1<System.IDisposable> Godot.DisposablesTracker::RegisterDisposable(System.IDisposable)
2026-09-14T08:12:07.9042380+00:00 | run=20260914T0809591487040Z-pid10996-6b20313d191e419b8b0922305798aa84 | pid=10996 | managedThread=1 | INMETHOD_GS010 — GodotSharp System.Collections.Concurrent.ConcurrentDictionary`2<System.WeakReference`1<System.IDisposable>,System.Byte> Godot.DisposablesTracker::get_OtherInstances()
2026-09-14T08:12:07.9043870+00:00 | run=20260914T0809591487040Z-pid10996-6b20313d191e419b8b0922305798aa84 | pid=10996 | managedThread=1 | INMETHOD_GS013 — GodotSharp System.IntPtr Godot.GodotObject::GetPtr(Godot.GodotObject)
2026-09-14T08:12:07.9045370+00:00 | run=20260914T0809591487040Z-pid10996-6b20313d191e419b8b0922305798aa84 | pid=10996 | managedThread=1 | INMETHOD_GS013 — GodotSharp System.IntPtr Godot.GodotObject::GetPtr(Godot.GodotObject)
2026-09-14T08:12:07.9046820+00:00 | run=20260914T0809591487040Z-pid10996-6b20313d191e419b8b0922305798aa84 | pid=10996 | managedThread=1 | INMETHOD_GS022 — GodotSharp System.Void Godot.NativeInterop.ExceptionUtils::ThrowIfNullPtr(System.IntPtr,System.String)
2026-09-14T08:12:07.9048310+00:00 | run=20260914T0809591487040Z-pid10996-6b20313d191e419b8b0922305798aa84 | pid=10996 | managedThread=1 | INMETHOD_GS038 — GodotSharp System.Void Godot.NativeInterop.NativeFuncs::godotsharp_method_bind_ptrcall(System.IntPtr,System.IntPtr,System.Void**,System.Void*)
2026-09-14T08:12:07.9050030+00:00 | run=20260914T0809591487040Z-pid10996-6b20313d191e419b8b0922305798aa84 | pid=10996 | managedThread=1 | INMETHOD_GS024 — GodotSharp Godot.GodotObject Godot.NativeInterop.InteropUtils::UnmanagedGetManaged(System.IntPtr)
2026-09-14T08:12:12.8689970+00:00 | run=20260914T0809591487040Z-pid10996-6b20313d191e419b8b0922305798aa84 | pid=10996 | managedThread=1 | INMETHOD_GS013 — GodotSharp System.IntPtr Godot.GodotObject::GetPtr(Godot.GodotObject)
2026-09-14T08:12:12.8695670+00:00 | run=20260914T0809591487040Z-pid10996-6b20313d191e419b8b0922305798aa84 | pid=10996 | managedThread=1 | INMETHOD_GS022 — GodotSharp System.Void Godot.NativeInterop.ExceptionUtils::ThrowIfNullPtr(System.IntPtr,System.String)
2026-09-14T08:12:12.8706080+00:00 | run=20260914T0809591487040Z-pid10996-6b20313d191e419b8b0922305798aa84 | pid=10996 | managedThread=1 | INMETHOD_GS038 — GodotSharp System.Void Godot.NativeInterop.NativeFuncs::godotsharp_method_bind_ptrcall(System.IntPtr,System.IntPtr,System.Void**,System.Void*)
2026-09-14T08:12:12.8709640+00:00 | run=20260914T0809591487040Z-pid10996-6b20313d191e419b8b0922305798aa84 | pid=10996 | managedThread=1 | INMETHOD_GS023 — GodotSharp System.Boolean Godot.NativeInterop.GodotBoolExtensions::ToBool(Godot.NativeInterop.godot_bool)
2026-09-14T08:12:12.8714250+00:00 | run=20260914T0809591487040Z-pid10996-6b20313d191e419b8b0922305798aa84 | pid=10996 | managedThread=1 | INMETHOD_GS013 — GodotSharp System.IntPtr Godot.GodotObject::GetPtr(Godot.GodotObject)
2026-09-14T08:12:12.8717830+00:00 | run=20260914T0809591487040Z-pid10996-6b20313d191e419b8b0922305798aa84 | pid=10996 | managedThread=1 | INMETHOD_GS022 — GodotSharp System.Void Godot.NativeInterop.ExceptionUtils::ThrowIfNullPtr(System.IntPtr,System.String)
2026-09-14T08:12:12.8721120+00:00 | run=20260914T0809591487040Z-pid10996-6b20313d191e419b8b0922305798aa84 | pid=10996 | managedThread=1 | INMETHOD_GS038 — GodotSharp System.Void Godot.NativeInterop.NativeFuncs::godotsharp_method_bind_ptrcall(System.IntPtr,System.IntPtr,System.Void**,System.Void*)
2026-09-14T08:12:12.8725300+00:00 | run=20260914T0809591487040Z-pid10996-6b20313d191e419b8b0922305798aa84 | pid=10996 | managedThread=1 | INMETHOD_GS027 — GodotSharp System.String Godot.NativeInterop.Marshaling::ConvertStringToManaged(Godot.NativeInterop.godot_string&)
