StS2 Launcher — Step 45.0 Local save initialization checkpoint
Output-only diagnostic; never consumed as trusted runtime input.
Run ID: 20260909T1704167240040Z-pid796-b7b6685c69da429781818388fdd8ce15
Initialized UTC: 2026-09-09T17:04:16.7240040+00:00
Process ID: 796
App version: 0.0.176 (176)
Candidate: STEPS 43–47 SEQUENTIAL STARTUP LADDER — STOP ON FIRST FAILURE; LATER RUNGS REQUIRE SAME-PROCESS PRIOR 4/4 AUTHORITY.
Global policy: Steps 43–46 keep rendering frozen. GameStartup itself, DoCloudSync, migration mutation, InitializePlatform, native Steamworks, FMOD/Spine/native game extensions remain unopened unless a rung explicitly says otherwise. Step 47 alone may start rendering and invoke exact admissible LaunchMainMenu once.

2026-09-09T17:04:16.7323820+00:00 | run=20260909T1704167240040Z-pid796-b7b6685c69da429781818388fdd8ce15 | pid=796 | managedThread=1 | RUN_TELEMETRY_READY — run-correlated ladder journal created and durably flushed before Gate A.
2026-09-09T17:04:16.7337610+00:00 | run=20260909T1704167240040Z-pid796-b7b6685c69da429781818388fdd8ce15 | pid=796 | managedThread=1 | RUN_START — Step 45.0 local SaveManager initialization started; cloud/migration/Steam/main-menu remain unopened.
2026-09-09T17:04:16.7343570+00:00 | run=20260909T1704167240040Z-pid796-b7b6685c69da429781818388fdd8ce15 | pid=796 | managedThread=1 | M45_A_ENTRY — requiring same-process Step-44 4/4 no-legacy-data authority, retained real NGame/state=2, frozen rendering, and unchanged selected compatibility/context authority.
2026-09-09T17:04:16.7479970+00:00 | run=20260909T1704167240040Z-pid796-b7b6685c69da429781818388fdd8ce15 | pid=796 | managedThread=1 | M45_A_PASS — prerequisite retained; renderingStopped=True; state=2; selectedSha256=89e7ef79d74457fa4e96078c2363d1c0f6342e8b96a2e6e13bd308024bfbf60a; resolver/host/private/initializer/rejected/native deltas=0.
2026-09-09T17:04:16.7500730+00:00 | run=20260909T1704167240040Z-pid796-b7b6685c69da429781818388fdd8ce15 | pid=796 | managedThread=1 | M45_B_ENTRY — mapping SaveManager.InitProfileId(null), InitProgressData(), and InitPrefsData() in original GameStartup order. Null-platform reads and already-inert SentryService wrappers are admissible; external Steamworks/native/FMOD/Spine/later-startup boundaries are not.
2026-09-09T17:04:16.9010920+00:00 | run=20260909T1704167240040Z-pid796-b7b6685c69da429781818388fdd8ce15 | pid=796 | managedThread=1 | M45_B_FAIL — stage=local SaveManager initialization closure audit; System.MissingFieldException: MissingField_Name, MegaCrit.Sts2.Core.Saves.SaveManager, <Instance>k__BackingField
2026-09-09T17:04:16.9087450+00:00 | run=20260909T1704167240040Z-pid796-b7b6685c69da429781818388fdd8ce15 | pid=796 | managedThread=1 | RUN_FINALLY_ENTER — managed control reached finally; managedThread=1; isMain=True; renderingActive=False. If the one-shot boundary was armed, never retry Step 45 in-process.
2026-09-09T17:04:16.9146500+00:00 | run=20260909T1704167240040Z-pid796-b7b6685c69da429781818388fdd8ce15 | pid=796 | managedThread=6 | RUN_NORMAL_REPORT_RETURNED — step report writer returned.
2026-09-09T17:04:16.9179640+00:00 | run=20260909T1704167240040Z-pid796-b7b6685c69da429781818388fdd8ce15 | pid=796 | managedThread=6 | RUN_END — Step-45 UI operation ended normally; If the one-shot boundary was armed, never retry Step 45 in-process.
